"","Date","Minimum temperature","Maximum temperature","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"1",2018-01-08,7.6,15.4,0,NA,NA,"NW",54,01:38:00,10.9,54,NA,"WNW","22",1018.7,14.7,32,NA,"NW","19",1018.7
"2",2018-02-08,-3.8,14.3,0,NA,NA,"NNW",26,12:23:00,3.3,87,1,NA,"Calm",1026.8,13.7,43,NA,"NE","9",1021.9
"3",2018-03-08,-3.6,19.5,0,NA,NA,"NW",72,20:56:00,3.7,84,NA,NA,"Calm",1018.1,17.9,35,4,"NNW","39",1009.9
"4",2018-04-08,3.7,12.8,13.8,NA,NA,"NNW",54,04:50:00,7.8,77,8,"NNW","24",1016.8,11.6,52,5,"WNW","22",1016.1
"5",2018-05-08,-1,15,0,NA,NA,"NW",43,12:19:00,5,85,NA,NA,"Calm",1018.4,14.6,48,NA,"NW","24",1011.8
"6",2018-06-08,1.2,13.7,0,NA,NA,"NW",61,10:48:00,9.2,72,8,"N","28",1005.4,10.9,44,8,"WNW","31",1003.5
"7",2018-07-08,2.4,9.7,6.6,NA,NA,"WNW",61,14:52:00,4.9,90,5,"NW","30",1009.5,8.8,54,NA,"WNW","44",1010.4
"8",2018-08-08,2.6,12.1,0,NA,NA,"WNW",70,12:45:00,6.5,65,8,"NW","30",1014.9,9.9,60,8,"WNW","35",1013.7
"9",2018-09-08,1.6,13.7,0,NA,NA,"NNW",30,00:40:00,6.3,94,7,"SSW","9",1024.3,12.9,50,NA,"N","15",1022.2
"10",2018-10-08,-2.5,15.6,0.2,NA,NA,"NNW",43,12:16:00,0.5,99,8,NA,"Calm",1023.6,14.9,42,NA,"NW","28",1017.7
"11",2018-11-08,0.4,16.4,0,NA,NA,"NW",59,10:48:00,8.9,63,1,"SE","7",1011.4,13.2,45,8,"NNW","37",1008.1
"12",2018-12-08,1.4,11.7,3,NA,NA,"WNW",46,14:08:00,6.4,72,NA,"W","17",1016.9,10.7,39,1,"WNW","31",1018.1
"13",2018-08-01,2.4,13.8,0,NA,NA,"WNW",52,14:23:00,7.6,76,NA,"NNW","26",1022.9,12.5,54,NA,"WNW","35",1022.1
"14",2018-08-02,2.8,16.4,0,NA,NA,"N",44,13:46:00,9.6,66,NA,"NW","22",1025,14.9,49,NA,"NNW","28",1020.5
"15",2018-08-03,5.6,16,0,NA,NA,"NNW",61,11:09:00,9.9,62,NA,"N","31",1015.9,13.9,46,4,"NW","37",1011.4
"16",2018-08-04,6.5,13.8,0,NA,NA,"WNW",56,06:23:00,10.3,47,NA,"WNW","20",1013.2,12.5,38,NA,"WNW","30",1012.1
"17",2018-08-05,-5.5,13.4,0,NA,NA,"WNW",41,13:32:00,2.7,74,NA,"NNE","2",1017.2,10.7,40,3,"WNW","26",1014
"18",2018-08-06,-0.5,11.2,0,NA,NA,"NW",59,11:22:00,9.1,55,2,"NNW","13",1011.3,8.5,72,8,"NW","22",1009.1
"19",2018-08-07,2.7,10.6,3.4,NA,NA,"W",52,14:33:00,5.8,59,1,"NW","24",1013.2,8.9,44,8,"W","24",1014
"20",2018-08-08,-5.7,11.5,0,NA,NA,"NW",44,19:46:00,2.6,71,NA,"NNW","2",1022.4,10.4,49,NA,"NNW","28",1018.7
"21",2018-08-09,2.6,12.8,0,NA,NA,"WNW",52,13:43:00,7.7,68,3,"N","30",1016,10.7,52,NA,"WNW","37",1012.5
"22",2018-08-10,1.7,14,0,NA,NA,"W",30,00:07:00,7.8,66,NA,"WNW","7",1017.1,12.3,38,4,"N","9",1015.3
"23",2018-08-11,-1.5,12,0,NA,NA,"E",30,20:19:00,5.3,81,8,"SE","7",1022.4,11.4,45,8,"NNE","13",1020.4
"24",2018-08-12,4.1,14.9,0,NA,NA,"E",37,18:29:00,9.6,71,7,"ENE","7",1024.8,13.3,44,4,"ESE","7",1022.3
"25",2018-08-13,4.9,16.1,0,NA,NA,"N",43,15:57:00,11.8,69,7,"NE","13",1023.3,15.1,57,8,"NW","9",1018.9
